arun@arun-h110:~/git/Text_frequency_research$ ./a.out RC_2013-04.zst 250000 4096 test.ix
Csz: 250000, pgsz: 4096
1489858 1350000191293706=36091274+93689714+69570365 50614548 994946428 24.4419
1500812 1360000192945491=36397576+94496222+70177412 51014871 1003066162 22.2509
1511816 1370000194629037=36712329+95326971+70785495 51419409 1011298070 21.8661
1522795 1380000196261107=37016280+96132860+71375071 51814894 1019317597 21.897
1533703 1390000197916580=37324592+96947275+71976458 52220059 1027486142 22.5402
1544569 1400000199559259=37633478+97759355+72566898 52615273 1035528876 22.9669
1555499 1410000201315494=37961628+98624605+73202706 53036127 1044144643 24.7838
1566395 1420000203040851=38283744+99480615+73821800 53449876 1052633806 24.6962
1577238 1430000204769957=38606559+100338547+74442479 53869596 1061171918 23.3249
1588118 1440000206501964=38930451+101195825+75064964 54287588 1069705174 24.3278
1598949 1450000208268958=39258963+102068645+75703593 54709043 1078364414 25.2549
1609797 1460000210044947=39588611+102945770+76346406 55131035 1087042665 25.7933
1620630 1470000211794585=39917933+103814704+76971470 55544032 1095529322 25.7406
1631477 1480000213544045=40245037+104679189+77602221 55961179 1104076487 25.9201
1642373 1490000215341282=40581295+105569208+78248299 56384566 1112777572 25.0623
1653233 1500000217140861=40916401+106459891+78897104 56809354 1121511348 26.2277
1664130 1510000218918863=41246819+107335188+79542979 57225008 1130075284 26.6052
1675034 1520000220707784=41578832+108217124+80191733 57643769 1138712325 27.4303
1685958 1530000222527080=41916354+109112653+80853015 58067919 1147498384 28.1293
1696847 1540000224315178=42247473+109988212+81508049 58486334 1156126542 27.7418
1707676 1550000226145550=42585444+110889061+82174592 58915737 1164993171 27.2415
1718573 1560000227977335=42923424+111787999+82844857 59343245 1173843749 28.3492
1729487 1570000229753615=43251320+112659502+83494703 59756514 1182380985 28.1383
1740347 1580000231553104=43584046+113540125+84154536 60174689 1191029196 28.7523
1751207 1590000233379940=43922520+114439161+84819335 60599045 1199794240 29.652
1762023 1600000235155843=44253361+115316780+85460372 61012450 1208295423 28.5994
1772878 1610000236929770=44581602+116184385+86111454 61425120 1216805768 27.7944
1783723 1620000238688807=44908360+117054935+86745918 61833822 1225267904 28.9401
1794607 1630000240464479=45236722+117925167+87395629 62246455 1233797145 29.8685
1805498 1640000242254153=45568300+118810419+88042816 62661470 1242396543 30.4205
1816421 1650000244050465=45899876+119697682+88694298 63084105 1251085037 31.1538
1827273 1660000245854599=46234183+120581771+89354321 63502636 1259702163 30.6346
1838160 1670000247658504=46569017+121468086+90011465 63924060 1268390046 30.2122
1849005 1680000249430278=46895842+122335533+90661291 64332185 1276866590 30.5253
1859879 1690000251131279=47212315+123178813+91272934 64726844 1285037297 30.0184
1870739 1700000252891045=47539369+124052324+91905247 65133531 1293447435 31.9416
1881698 1710000254580511=47855132+124886720+92515242 65521779 1301428351 30.5019
1892578 1720000256293646=48175630+125733252+93133036 65914900 1309522057 30.5604
1903425 1730000258022915=48497011+126587322+93759138 66313483 1317768398 27.2236
1914319 1740000259815209=48830592+127465985+94414637 66723325 1326233129 22.6211
1925121 1750000261541348=49152781+128320704+95035878 67120284 1334453069 22.3614
1936035 1760000263330395=49486167+129206644+95680325 67535314 1343015263 23.6627
1946942 1770000265050284=49805914+130048834+96309106 67922859 1351057594 23.0734
1957829 1780000266753303=50124838+130892409+96920932 68313114 1359150797 22.5269
1968722 1790000268493552=50448739+131746780+97555161 68711964 1367431348 22.1329
1979581 1800000270164288=50760785+132567358+98163038 69097026 1375353322 22.2336
1990482 1810000271830252=51072079+133383609+98770962 69474663 1383165121 22.5113
2001382 1820000273492871=51381902+134197434+99378998 69858002 1391040276 22.7687
2012247 1830000275187120=51698829+135031055+99993704 70243105 1398978795 23.6017
2023129 1840000276861603=52011532+135854419+100601958 70624513 1406842582 23.6869
2034053 1850000278586086=52334286+136703614+101226354 71015447 1414945189 23.0952
2044917 1860000280251224=52646494+137526857+101826009 71390974 1422729047 22.9394
2055814 1870000281924750=52958788+138352252+102431703 71779956 1430720300 23.6009
2066728 1880000283579260=53268199+139169715+103028509 72155055 1438507060 24.021
2077660 1890000285237044=53579292+139988643+103625286 72530213 1446289440 24.2461
2088614 1900000286912655=53892335+140810185+104236352 72908955 1454115411 24.9262
2099586 1910000288616243=54209093+141647327+104856783 73291454 1462059367 23.8633
2110524 1920000290241237=54514629+142446303+105445717 73658909 1469670726 23.1472
2121483 1930000291923570=54829825+143276743+106052519 74042542 1477612204 24.8207
2132440 1940000293565784=55136148+144083806+106649839 74414407 1485304893 24.8879
2143340 1950000295239019=55448867+144906211+107257969 74792908 1493152058 25.9172
2154286 1960000296860107=55753648+145703015+107845359 75156658 1500685321 25.134
2165157 1970000298412591=56044542+146464173+108410700 75503964 1507860545 23.5342
2176142 1980000299979496=56338337+147235354+108978397 75854988 1515130944 23.0446
2187090 1990000301618575=56644428+148044181+109570873 76226703 1522833824 24.9451
2198031 2000000303185210=56938923+148817650+110135184 76581126 1530167816 24.4822
2208970 2010000304752540=57232180+149587337+110705170 76930010 1537416843 24.6669
2219875 2020000306334455=57532948+150371332+111270400 77285078 1544777988 25.236
2230717 2030000307845651=57817948+151122157+111809532 77622429 1551784219 24.4175
2241553 2040000309373570=58105978+151881084+112355392 77967769 1558950222 25.6208
2252478 2050000310917801=58397346+152645204+112909519 78315240 1566151635 25.113
2263400 2060000312460636=58688083+153405052+113466755 78660923 1573288073 25.2395
2274335 2070000314006113=58979074+154169481+114021866 79003644 1580398682 25.4719
2285238 2080000315479761=59257781+154893633+114554732 79329432 1587129455 24.7556
2296195 2090000317001742=59547160+155648315+115097246 79666132 1594122519 25.9501
2307093 2100000318548784=59841585+156419314+115645210 80006972 1601201263 26.682
2317991 2110000320065310=60129116+157167613+116190543 80341386 1608147894 24.9316
2328915 2120000321540226=60409484+157900375+116714932 80668637 1614946232 24.8049
2339889 2130000323065272=60697602+158658425+117258241 81010738 1622038984 26.2487
2350849 2140000324569276=60981045+159406540+117794073 81344724 1628969389 26.4199
2361818 2150000326046163=61261072+160142425+118317711 81674558 1635802185 26.4204
2372703 2160000327582195=61550056+160900281+118871928 82014026 1642865507 27.6114
2383611 2170000329020933=61822910+161615512+119384128 82333142 1649488435 26.1001
2394538 2180000330471640=62098697+162341500+119894769 82656405 1656191126 25.6057
2405448 2190000332047282=62396171+163128686+120452548 83005937 1663453729 28.1933
2416385 2200000333572677=62685022+163886371+120996698 83341993 1670451839 27.9265
2427291 2210000335055154=62966105+164620723+121527332 83670167 1677251608 27.6468
2438224 2220000336562228=63251799+165373345+122060347 84004552 1684192176 28.3284
2449156 2230000338098470=63544181+166137065+122607037 84342981 1691225782 28.9174
2460085 2240000339674657=63843460+166921569+123166530 84693258 1698475254 29.9956
2471031 2250000341328221=64154313+167736404+123763464 85059261 1706083482 30.892
2481891 2260000342920094=64455060+168519044+124339193 85408386 1713327287 21.6187
2492839 2270000344524932=64756130+169308970+124920291 85760186 1720666075 21.4711
2503770 2280000346165173=65065475+170120749+125508611 86122830 1728230888 22.3065
2514685 2290000347777859=65367628+170914357+126092672 86476285 1735598712 22.3224
2525687 2300000349430556=65676533+171726819+126692647 86836401 1743134403 23.142
2536614 2310000351071462=65982636+172534843+127287338 87198816 1750681490 22.3751
2547690 2320000352775789=66300993+173374078+127904919 87578741 1758571156 22.8498
2558712 2330000354479327=66619347+174214406+128520924 87955318 1766414556 23.4479
2569709 2340000356119816=66929029+175032721+129102657 88316989 1773961185 23.1743
2580699 2350000357866975=67253212+175889572+129740737 88703946 1782060228 24.9573
2591715 2360000359567798=67570319+176725970+130359050 89078946 1789866813 24.7042
2602831 2370000361333804=67899239+177596044+130999241 89472502 1798048021 25.5295
2613986 2380000363142494=68230806+178475866+131670096 89869617 1806371814 24.881
2624949 2390000364958248=68564735+179361240+132340268 90276621 1814848949 26.1857
2635909 2400000366793742=68902584+180257977+133015990 90691352 1823454653 27.3198
2646913 2410000368547157=69226360+181113701+133662101 91086993 1831642421 27.5795
2657884 2420000370250743=69543018+181948977+134283775 91464476 1839475084 26.3514
2668918 2430000371945334=69856854+182774867+134907321 91841763 1847251916 25.6851
2679809 2440000373593593=70165486+183587194+135502816 92215283 1854958726 24.1912
2690746 2450000375264732=70476391+184414187+136105363 92589418 1862764357 25.6149
2701594 2460000377026942=70804695+185280946+136745118 92981776 1870925190 27.46
2712475 2470000378737275=71123412+186129022+137359567 93361281 1878850975 27.3403
2723357 2480000380487328=71448458+186993347+137992245 93745279 1886852613 28.0831
2734166 2490000382198024=71767925+187837149+138610940 94122889 1894724485 27.3594
